,Generation id,Number of archives,Average fog density,Standard deviation of fog density
20,27,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
21,28,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
22,29,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
24,30,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
25,31,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
26,32,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
27,33,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
28,34,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
29,35,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
30,36,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
31,37,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
32,38,12,0.15839424991350118,"[0.05249999999999999, 0.022500000000000006, 0.037500000000000006, 0.007499999999999993, 0.015, 0.022499999999999992, 0.03, 0.0075, 0.015, 0.015000000000000013, 0.04499999999999999, 0.0075]"
