,Generation id,Number of archives,Average fog amount for whole generation,Name of the individual,Fog density of failure version,Fog density of successful version,Average fog density of individual,standard deviation
177,28,11,0.16796895884269936,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
170,28,11,0.16796895884269936,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
171,28,11,0.16796895884269936,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
178,28,11,0.16796895884269936,ind415,0.22824904545663033,0.15324904545663032,0.19074904545663032,0.037500000000000006
174,28,11,0.16796895884269936,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
179,28,11,0.16796895884269936,ind433,0.28077479625329504,0.26577479625329503,0.27327479625329504,0.007500000000000007
180,28,11,0.16796895884269936,ind447,0.12256613687121136,0.10756613687121136,0.11506613687121137,0.0075
172,28,11,0.16796895884269936,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
173,28,11,0.16796895884269936,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
176,28,11,0.16796895884269936,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
175,28,11,0.16796895884269936,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
189,29,11,0.16796895884269936,ind415,0.22824904545663033,0.15324904545663032,0.19074904545663032,0.037500000000000006
188,29,11,0.16796895884269936,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
187,29,11,0.16796895884269936,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
191,29,11,0.16796895884269936,ind447,0.12256613687121136,0.10756613687121136,0.11506613687121137,0.0075
185,29,11,0.16796895884269936,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
184,29,11,0.16796895884269936,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
183,29,11,0.16796895884269936,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
182,29,11,0.16796895884269936,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
181,29,11,0.16796895884269936,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
190,29,11,0.16796895884269936,ind433,0.28077479625329504,0.26577479625329503,0.27327479625329504,0.007500000000000007
186,29,11,0.16796895884269936,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
195,30,11,0.16796895884269936,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
203,30,11,0.16796895884269936,ind433,0.28077479625329504,0.26577479625329503,0.27327479625329504,0.007500000000000007
194,30,11,0.16796895884269936,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
196,30,11,0.16796895884269936,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
197,30,11,0.16796895884269936,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
198,30,11,0.16796895884269936,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
199,30,11,0.16796895884269936,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
200,30,11,0.16796895884269936,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
201,30,11,0.16796895884269936,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
202,30,11,0.16796895884269936,ind415,0.22824904545663033,0.15324904545663032,0.19074904545663032,0.037500000000000006
204,30,11,0.16796895884269936,ind447,0.12256613687121136,0.10756613687121136,0.11506613687121137,0.0075
214,31,11,0.16796895884269936,ind433,0.28077479625329504,0.26577479625329503,0.27327479625329504,0.007500000000000007
205,31,11,0.16796895884269936,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
206,31,11,0.16796895884269936,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
207,31,11,0.16796895884269936,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
209,31,11,0.16796895884269936,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
210,31,11,0.16796895884269936,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
211,31,11,0.16796895884269936,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
212,31,11,0.16796895884269936,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
213,31,11,0.16796895884269936,ind415,0.22824904545663033,0.15324904545663032,0.19074904545663032,0.037500000000000006
215,31,11,0.16796895884269936,ind447,0.12256613687121136,0.10756613687121136,0.11506613687121137,0.0075
208,31,11,0.16796895884269936,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
227,32,12,0.15825582581755313,ind529,0.09641136254094466,0.006411362540944661,0.051411362540944666,0.045
225,32,12,0.15825582581755313,ind433,0.28077479625329504,0.26577479625329503,0.27327479625329504,0.007500000000000007
216,32,12,0.15825582581755313,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
217,32,12,0.15825582581755313,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
