,Generation id,Number of archives,Average fog density,Standard deviation of fog density
24,30,11,0.1292978393819172,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.045, 0.0225, 0.029999999999999995, 0.03]"
25,31,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
26,32,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
27,33,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
28,34,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
29,35,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
30,36,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
31,37,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
32,38,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
33,39,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
35,40,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
36,41,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
37,42,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
38,43,11,0.12861602120009905,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.007500000000000007, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.0225, 0.029999999999999995, 0.03]"
39,44,11,0.12861602120009902,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.007499999999999993, 0.0225, 0.029999999999999995, 0.03]"
40,45,11,0.12861602120009902,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.007499999999999993, 0.0225, 0.029999999999999995, 0.03]"
41,46,11,0.12861602120009902,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.007499999999999993, 0.0225, 0.029999999999999995, 0.03]"
42,47,11,0.12861602120009902,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.007499999999999993, 0.0225, 0.029999999999999995, 0.03]"
43,48,11,0.12861602120009902,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.007499999999999993, 0.0225, 0.029999999999999995, 0.03]"
44,49,11,0.12861602120009902,"[0.04500000000000001, 0.03749999999999999, 0.015, 0.045000000000000005, 0.007499999999999993, 0.007499999999999993, 0.03749999999999999, 0.007499999999999993, 0.0225, 0.029999999999999995, 0.03]"
