timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
1.8400001302361488	(2.710984230041504, 6.572985649108887, -27.764484405517578)	(0.18345579504966736, 0.9829506278038025, 0.012331143952906132)	(1.2046204805374146, 6.347483158111572, -0.0054992083460092545)	None	None	None	None	None	None	None	23	False	0	nan	1.37042970323829
1.8900001337751746	(2.772703170776367, 6.893002986907959, -27.765575408935547)	(0.18403716385364532, 0.9828764796257019, 0.009181090630590916)	(1.2383713722229004, 6.452926158905029, -0.023218771442770958)	None	None	None	None	None	None	None	24	False	0	nan	1.313797245906681
1.9400001373142004	(2.834031581878662, 7.217220306396484, -27.766775131225586)	(0.18462218344211578, 0.9827890992164612, 0.006347530521452427)	(1.2177046537399292, 6.518050193786621, -0.01948651857674122)	None	None	None	None	None	None	None	24	False	0	nan	1.2576587999878044
1.9900001408532262	(2.8942389488220215, 7.543488025665283, -27.768024444580078)	(0.1842002421617508, 0.982881486415863, 0.003772424766793847)	(1.1677943468093872, 6.526908874511719, -0.030846431851387024)	None	None	None	None	None	None	None	24	False	0	nan	1.202674027606397
2.040000144392252	(2.951746702194214, 7.869746685028076, -27.769432067871094)	(0.18228290975093842, 0.9832457304000854, 0.0007878596079535782)	(1.1177664995193481, 6.5335164070129395, -0.019475966691970825)	None	None	None	None	None	None	None	24	False	0	nan	1.1503883791263854
2.0900001479312778	(3.0059189796447754, 8.195213317871094, -27.771236419677734)	(0.1787388026714325, 0.9838947057723999, -0.0019263450521975756)	(1.02547025680542, 6.473272800445557, -0.032584019005298615)	None	None	None	None	None	None	None	24	False	0	nan	1.1016644574189636
2.1400001514703035	(3.0555903911590576, 8.518019676208496, -27.772663116455078)	(0.17324787378311157, 0.9848660230636597, -0.0049132853746414185)	(0.9380972385406494, 6.43969202041626, -0.010164301842451096)	None	None	None	None	None	None	None	23	False	0	nan	1.0574627155451672
2.1900001550093293	(3.101235866546631, 8.840518951416016, -27.77387046813965)	(0.16612812876701355, 0.9860801100730896, -0.006886694114655256)	(0.8516726493835449, 6.442310810089111, -0.025495003908872604)	None	None	None	None	None	None	None	23	False	0	nan	1.0172811368418464
2.240000158548355	(3.1424880027770996, 9.165297508239746, -27.77401351928711)	(0.15760765969753265, 0.9874691963195801, -0.008023836649954319)	(0.7851101160049438, 6.574847221374512, -0.0015005257446318865)	None	None	None	None	None	None	None	24	False	0	nan	0.9815308384204382
2.290000162087381	(3.1796014308929443, 9.495926856994629, -27.77411651611328)	(0.1476617157459259, 0.9890104532241821, -0.007371001876890659)	(0.6764421463012695, 6.62299108505249, -0.008779490366578102)	None	None	None	None	None	None	None	24	False	0	nan	0.9502008314538946
2.3400001656264067	(3.2108845710754395, 9.827384948730469, -27.77436065673828)	(0.1362425684928894, 0.9906478524208069, -0.007410210091620684)	(0.5698246955871582, 6.609788417816162, -0.011174697428941727)	None	None	None	None	None	None	None	24	False	0	nan	0.9248065276343906
2.3900001691654325	(3.2351362705230713, 10.153107643127441, -27.77548599243164)	(0.12293902039527893, 0.992371678352356, -0.009191780351102352)	(0.4288155436515808, 6.4461350440979, -0.03133368492126465)	None	None	None	None	None	None	None	23	False	0	nan	0.9063407441902047
2.4400001727044582	(3.252901315689087, 10.473739624023438, -27.776121139526367)	(0.10815828293561935, 0.9940716624259949, -0.011105671525001526)	(0.3092377483844757, 6.425835609436035, -0.0037510842084884644)	None	None	None	None	None	None	None	23	False	0	nan	0.8942702246720684
2.490000176243484	(3.265561580657959, 10.794204711914062, -27.77579689025879)	(0.09305363893508911, 0.9955872893333435, -0.012123865075409412)	(0.21922244131565094, 6.4410505294799805, 0.04625103622674942)	None	None	None	None	None	None	None	23	False	0	nan	0.887433179570932
2.54000017978251	(3.275721311569214, 11.120942115783691, -27.774188995361328)	(0.07832891494035721, 0.9968735575675964, -0.010376746766269207)	(0.18391233682632446, 6.620309352874756, 0.043477438390254974)	None	None	None	None	None	None	None	24	False	0	nan	0.8833113579938356
2.5900001833215356	(3.283724546432495, 11.452281951904297, -27.772567749023438)	(0.06595398485660553, 0.9977864623069763, -0.008496304042637348)	(0.15115885436534882, 6.610623359680176, 0.0042940001003444195)	None	None	None	None	None	None	None	24	False	0	nan	0.8814306901732247
2.6400001868605614	(3.2901978492736816, 11.782499313354492, -27.771774291992188)	(0.05519866943359375, 0.9984434247016907, -0.007991243153810501)	(0.12606015801429749, 6.592479228973389, 0.004124312661588192)	None	None	None	None	None	None	None	24	False	0	nan	0.8810589565801574
2.690000190399587	(3.2962698936462402, 12.111008644104004, -27.77132225036621)	(0.046573735773563385, 0.998881459236145, -0.008167690597474575)	(0.11866617202758789, 6.552527904510498, -0.013997365720570087)	None	None	None	None	None	None	None	24	False	0	nan	0.8811587424442191
2.740000193938613	(3.303100347518921, 12.437593460083008, -27.770776748657227)	(0.04007367789745331, 0.9991598725318909, -0.00858304277062416)	(0.15676288306713104, 6.509189128875732, -0.0030356813222169876)	None	None	None	None	None	None	None	23	False	0	nan	0.8805643937324652
2.7900001974776387	(3.3103506565093994, 12.763155937194824, -27.770334243774414)	(0.03563544154167175, 0.9993252754211426, -0.00889008678495884)	(0.13304641842842102, 6.536569595336914, 0.0030422466807067394)	None	None	None	None	None	None	None	24	False	0	nan	0.8795307488582225
2.8400002010166645	(3.3167901039123535, 13.093183517456055, -27.770132064819336)	(0.03206537663936615, 0.999453067779541, -0.008093670010566711)	(0.11429695785045624, 6.6448163986206055, 0.01567499339580536)	None	None	None	None	None	None	None	24	False	0	nan	0.8793930614794114
2.8900002045556903	(3.3217649459838867, 13.427218437194824, -27.77021026611328)	(0.028382349759340286, 0.9995744824409485, -0.006722580175846815)	(0.08221361041069031, 6.678371906280518, -0.0014261087635532022)	None	None	None	None	None	None	None	24	False	0	nan	0.8808726439974821
2.940000208094716	(3.324692487716675, 13.760534286499023, -27.770877838134766)	(0.02407379075884819, 0.9996867775917053, -0.00683202501386404)	(0.037666354328393936, 6.659379959106445, -0.0027558268047869205)	None	None	None	None	None	None	None	24	False	0	nan	0.8844798307785708
2.990000211633742	(3.3254997730255127, 14.093036651611328, -27.771583557128906)	(0.0191964078694582, 0.9997895956039429, -0.007223041262477636)	(-0.010446306318044662, 6.640291213989258, -0.007450566627085209)	None	None	None	None	None	None	None	24	False	0	nan	0.8901909193805129
3.0400002151727676	(3.3247954845428467, 14.424555778503418, -27.771778106689453)	(0.014139130711555481, 0.9998695254325867, -0.007818911224603653)	(0.0045145535841584206, 6.620239734649658, 0.01548017654567957)	None	None	None	None	None	None	None	24	False	0	nan	0.897394016362415
3.0900002187117934	(3.324838876724243, 14.755301475524902, -27.771005630493164)	(0.010073554702103138, 0.9999164342880249, -0.008095771074295044)	(0.005830464884638786, 6.622358322143555, 0.020129885524511337)	None	None	None	None	None	None	None	24	False	0	nan	0.903895130127629
3.140000222250819	(3.32669734954834, 15.086725234985352, -27.76991844177246)	(0.00820689182728529, 0.9999327659606934, -0.008188181556761265)	(0.06674185395240784, 6.643470764160156, 0.01125144399702549)	None	None	None	None	None	None	None	24	False	0	nan	0.9086694012900822
3.190000225789845	(3.3290114402770996, 15.420018196105957, -27.769338607788086)	(0.007849307730793953, 0.9999398589134216, -0.007664123084396124)	(0.038904596120119095, 6.668278217315674, 0.00563883176073432)	None	None	None	None	None	None	None	24	False	0	nan	0.9130255517976109
